epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.083,0.41763,2.56333,1.04308,0.00333,1,0.995,0.94843,0.28588,2.74936,0.89143,0.00032,0.00032,0.00032
2,266.386,0.23321,1.32717,0.80999,1,0.69316,0.995,0.95122,0.29651,2.4536,0.89414,0.00059466,0.00059466,0.00059466
3,398.309,0.20225,1.07479,0.80024,0.9947,1,0.995,0.95504,0.38578,1.68304,0.99165,0.000802,0.000802,0.000802
4,524.605,0.21416,0.95033,0.80833,0.99752,1,0.995,0.95694,0.27698,1.26117,0.8965,0.00094202,0.00094202,0.00094202
5,646.632,0.21237,0.85573,0.81257,0.99653,1,0.995,0.96869,0.33608,1.16043,0.94656,0.00101472,0.00101472,0.00101472
6,771.552,0.20752,0.79236,0.79337,0.99651,1,0.995,0.94912,0.25851,0.98991,0.87399,0.00101,0.00101,0.00101
7,899.544,0.18812,0.74921,0.81426,0.99748,1,0.995,0.995,0.16386,0.78623,0.85314,0.000812,0.000812,0.000812
8,1021.63,0.15047,0.66253,0.79297,0.99779,1,0.995,0.995,0.15707,0.63153,0.85629,0.000614,0.000614,0.000614
9,1141.48,0.13882,0.62118,0.77339,0.99808,1,0.995,0.995,0.13222,0.56597,0.84745,0.000416,0.000416,0.000416
10,1265.86,0.11779,0.59001,0.77234,0.99812,1,0.995,0.995,0.12213,0.51789,0.84429,0.000218,0.000218,0.000218
