epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.425,0.37614,2.11812,0.92701,0.98771,0.71085,0.78235,0.78224,0.27781,3.23748,0.80018,0.000464992,0.000464992,0.000464992
2,637.873,0.26856,1.04593,0.84842,0.84891,0.70049,0.85584,0.83827,0.33662,2.69998,0.82279,0.000863666,0.000863666,0.000863666
3,936.672,0.25351,1.32368,0.81053,0.74602,0.57374,0.60088,0.5875,0.30067,3.53108,0.83275,0.00118375,0.00118375,0.00118375
4,1231.34,0.23967,1.04098,0.79459,0.85705,0.83333,0.84593,0.78923,0.31905,1.79214,0.82954,0.00107532,0.00107532,0.00107532
5,1520.71,0.21633,0.87206,0.79217,0.87372,0.86511,0.86863,0.83784,0.23903,2.26233,0.78166,0.00095743,0.00095743,0.00095743
6,1779.84,0.18471,0.72225,0.77955,0.68072,0.88889,0.77422,0.73899,0.27377,1.89436,0.83331,0.000839537,0.000839537,0.000839537
7,2063.85,0.17623,0.61504,0.78502,0.88029,0.88889,0.88605,0.85976,0.19759,1.65715,0.78638,0.000721645,0.000721645,0.000721645
8,2348.71,0.16613,0.54788,0.78678,0.8999,0.89586,0.94022,0.92812,0.14878,1.39758,0.7572,0.000603752,0.000603752,0.000603752
9,2633.27,0.13696,0.48659,0.76694,0.88794,0.90816,0.94097,0.92874,0.16342,1.57008,0.77953,0.00048586,0.00048586,0.00048586
10,2918.09,0.12893,0.44931,0.77479,0.9067,0.88889,0.85278,0.83815,0.13302,1.81729,0.77155,0.000367967,0.000367967,0.000367967
11,3230.36,0.11268,0.40603,0.77551,0.90545,0.88889,0.87464,0.86677,0.11301,1.68829,0.77132,0.000250075,0.000250075,0.000250075
12,3522.67,0.0998,0.38776,0.77098,0.90658,0.88889,0.87424,0.87046,0.09932,1.69243,0.76771,0.000132183,0.000132183,0.000132183
