epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3521,0.98098,3.55873,1.49963,0.00333,1,0.2985,0.14011,1.6348,3.31017,1.9103,4e-05,4e-05,4e-05
2,25.9794,0.36479,3.04267,0.88663,0.00333,1,0.4975,0.48169,0.23551,2.85327,0.99574,9.01e-05,9.01e-05,9.01e-05
3,38.6916,0.20326,2.67818,0.789,0.00333,1,0.995,0.995,0.10388,2.82101,0.95247,0.00012832,0.00012832,0.00012832
4,51.276,0.18442,2.29952,0.79317,0.00333,1,0.995,0.995,0.12811,2.78175,0.95576,0.00015466,0.00015466,0.00015466
5,63.9983,0.17478,1.95467,0.76518,0.00333,1,0.995,0.995,0.13909,2.76806,0.95526,0.00016912,0.00016912,0.00016912
6,76.7645,0.17618,1.79955,0.83784,0.00333,1,0.995,0.995,0.13191,2.73169,0.95241,0.0001717,0.0001717,0.0001717
7,89.393,0.18223,1.63577,0.8004,0.00333,1,0.995,0.995,0.17194,2.74209,0.95896,0.0001624,0.0001624,0.0001624
8,103.162,0.16135,1.51434,0.79875,0.00333,1,0.995,0.995,0.15975,2.70706,0.95767,0.00014122,0.00014122,0.00014122
9,116.295,0.18006,1.49025,0.7816,0.00333,1,0.995,0.995,0.16602,2.69562,0.9581,0.00010816,0.00010816,0.00010816
10,130.067,0.20913,1.41717,0.75973,0.00333,1,0.995,0.995,0.18066,2.67808,0.95904,6.322e-05,6.322e-05,6.322e-05
