epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4026,0.44892,2.20287,1.02597,0.00333,1,0.995,0.995,0.17181,2.75182,0.87127,0.00032,0.00032,0.00032
2,149.25,0.22964,1.14119,0.85943,0.9874,1,0.995,0.995,0.20815,2.09443,0.87501,0.00060555,0.00060555,0.00060555
3,221.865,0.21218,1.17675,0.81731,0.99771,1,0.995,0.85848,0.51894,1.46858,1.00647,0.000835,0.000835,0.000835
4,296.664,0.21412,1.06375,0.81282,0.99789,1,0.995,0.98157,0.30829,1.0829,0.92911,0.00100835,0.00100835,0.00100835
5,371.142,0.20716,0.93803,0.82069,0.99716,1,0.995,0.87225,0.4926,1.28741,1.00799,0.0011256,0.0011256,0.0011256
6,445.061,0.20868,0.84947,0.80879,0.99791,1,0.995,0.95907,0.30312,0.91477,0.90673,0.001175,0.001175,0.001175
7,518.95,0.19566,0.76627,0.81731,0.99797,1,0.995,0.995,0.18837,0.7911,0.85754,0.00101,0.00101,0.00101
8,593.793,0.16883,0.69257,0.78722,0.99723,1,0.995,0.995,0.20028,0.64748,0.85403,0.000845,0.000845,0.000845
9,667.941,0.15366,0.6349,0.79619,0.99554,1,0.995,0.995,0.16408,0.62933,0.85695,0.00068,0.00068,0.00068
10,741.918,0.13678,0.57119,0.78232,0.99702,1,0.995,0.995,0.17086,0.60857,0.85123,0.000515,0.000515,0.000515
11,815.908,0.12335,0.54858,0.76863,0.99778,1,0.995,0.995,0.13482,0.52899,0.84273,0.00035,0.00035,0.00035
12,891.32,0.11072,0.52843,0.77901,0.99785,1,0.995,0.995,0.09341,0.49148,0.83718,0.000185,0.000185,0.000185
