epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,333.719,0.37614,2.11812,0.92701,0.98771,0.71085,0.78235,0.78224,0.27781,3.23748,0.80018,0.000464992,0.000464992,0.000464992
2,640.554,0.25639,1.02152,0.84437,0.75734,0.72222,0.72361,0.70382,0.28648,2.92449,0.80707,0.000708347,0.000708347,0.000708347
3,900.247,0.2116,0.84316,0.83595,0.83674,0.83051,0.88705,0.87888,0.23383,1.90939,0.78822,0.000715918,0.000715918,0.000715918
4,1154.15,0.18035,0.71187,0.83015,0.94974,0.95323,0.98055,0.96661,0.14794,0.8601,0.78435,0.000367967,0.000367967,0.000367967
